month,threshold,confederation,share,share_pct
2019-02,20,CONMEBOL,0.0,0.0
2019-02,20,OFC,0.0,0.0
2019-02,20,UEFA,0.2222222222222222,22.22222222222222
2019-03,20,AFC,0.05,5.0
2019-03,20,CAF,0.0,0.0
2019-03,20,CONCACAF,0.1,10.0
2019-03,20,CONMEBOL,0.1,10.0
2019-03,20,OFC,0.0,0.0
2019-03,20,UEFA,0.75,75.0
2019-05,20,AFC,0.16666666666666666,16.666666666666664
2019-05,20,CAF,0.5833333333333334,58.333333333333336
2019-05,20,CONCACAF,0.08333333333333333,8.333333333333332
2019-05,20,CONMEBOL,0.0,0.0
2019-05,20,OFC,0.0,0.0
2019-05,20,UEFA,0.16666666666666666,16.666666666666664
2019-06,20,AFC,0.05,5.0
2019-06,20,CAF,0.0,0.0
2019-06,20,CONCACAF,0.1,10.0
2019-06,20,CONMEBOL,0.25,25.0
2019-06,20,OFC,0.0,0.0
2019-06,20,UEFA,0.6,60.0
2019-07,20,AFC,0.05,5.0
2019-07,20,CAF,0.55,55.00000000000001
2019-07,20,CONCACAF,0.2,20.0
2019-07,20,CONMEBOL,0.2,20.0
2019-07,20,OFC,0.0,0.0
2019-07,20,UEFA,0.0,0.0
2019-08,20,AFC,0.65,65.0
2019-08,20,CAF,0.0,0.0
2019-08,20,CONCACAF,0.35,35.0
2019-08,20,CONMEBOL,0.0,0.0
2019-08,20,OFC,0.0,0.0
2019-08,20,UEFA,0.0,0.0
2019-09,20,AFC,0.1,10.0
2019-09,20,CAF,0.0,0.0
2019-09,20,CONCACAF,0.1,10.0
2019-09,20,CONMEBOL,0.2,20.0
2019-09,20,OFC,0.0,0.0
2019-09,20,UEFA,0.6,60.0
2019-10,20,AFC,0.0,0.0
2019-10,20,CAF,0.05,5.0
2019-10,20,CONCACAF,0.1,10.0
2019-10,20,CONMEBOL,0.2,20.0
2019-10,20,OFC,0.0,0.0
2019-10,20,UEFA,0.65,65.0
2019-11,20,AFC,0.0,0.0
2019-11,20,CAF,0.05,5.0
2019-11,20,CONCACAF,0.15,15.0
2019-11,20,CONMEBOL,0.15,15.0
